Division,n,skew_ah,within_frac,p_fav_ah
B1,5390,-0.09399050981452117,1.0210161204176131,0.5294778984591189
D1,6246,-0.10339994448561811,1.026453837761652,0.5339472978885644
D2,6209,-0.10209498006766059,1.0227499847442758,0.5316698772837065
E0,7721,-0.11349319454489536,1.0269852220460178,0.5412961689756306
E1,11166,-0.10889742297256666,1.0287072391856484,0.5352084077579029
E2,10979,-0.10185076233347222,1.0189868650162797,0.5324147737113945
E3,11052,-0.10687034812975656,1.0201451187109114,0.5330465157408667
EC,7044,-0.0949067753134033,1.0020263203027728,0.5257229091526605
F1,7517,-0.10559577292639878,1.0326135655720794,0.533022018903873
F2,7528,-0.10423762624641987,1.0225131010111295,0.5302699395999084
G1,3910,-0.1023097793970219,1.1646818455797863,0.5381554236079129
I1,7698,-0.108606856944164,1.0292537410421831,0.5352807823388112
I2,8587,-0.10885185341901522,1.0191931003460626,0.5330564628030787
N1,6092,-0.09344072555744556,1.0298133935370428,0.5290826249980991
P1,5455,-0.10149898869428205,1.0336058472526286,0.5315872380199477
SC0,4508,-0.10882693968521569,1.0194613663926915,0.5395553775875408
SC1,3534,-0.10701149383392221,1.0222674195245554,0.5329415132596036
SC2,3521,-0.10193987629032245,1.0289282706686396,0.5314970716388168
SC3,3514,-0.10580479503151888,1.0330376340865206,0.5339348149220551
SP1,7319,-0.11191621631402222,1.0256060497086557,0.537639228490308
SP2,8895,-0.10439044287460984,1.0240447999029625,0.5306784242540045
T1,6118,-0.09638391328153152,1.0189038983073313,0.5283214029742976
