Division,skew_exante,p_fav_dv_mean,seasons,noll_scully,hhi_star,theil
ARG,0.3134405699021942,0.4644123392357087,13,1.2032186170444323,0.005909818568672303,0.054394483945307555
AUT,0.14650581884001274,0.5382996157661302,13,1.5467250111824589,0.01890892113159269,0.052884572135345656
B1,0.15532473367761768,0.5247842954141143,20,1.58048317623112,0.009724936501210134,0.04870077895358312
BRA,0.2286178433224453,0.501314579322712,14,1.3386762211030698,0.011055696273469275,0.10675812277904796
CHN,0.14797028244368451,0.5501287727603912,12,1.5366883337233659,0.016302769998137377,0.10390853642406421
D1,0.1802095414344453,0.5279339920711643,21,1.598271454355432,0.00971814295563917,0.04868576791796823
D2,0.24495154040633485,0.4778814182943533,21,1.2502452512437017,0.006171711300995825,0.03290566700267236
DEN,0.22333150994287856,0.49401749212986407,13,1.3690988771966188,0.015057039117727287,0.05519176968522054
E0,0.16695804663737238,0.5428351674461053,21,1.8408294170794353,0.009634793282409775,0.057306192413016835
E1,0.2759582803460483,0.4697629442813914,21,1.4063891269336513,0.004315987806762671,0.029114690625264325
E2,0.26907666720715334,0.47120234959874535,21,1.4825944427025948,0.0045104868362111274,0.031445948096076884
E3,0.2942142497438685,0.45873702237570063,21,1.2883467474176302,0.003499475649338673,0.023809680079441023
EC,0.22583090084913496,0.48627674284696554,14,1.5634085866843914,0.005094976736833721,0.039664197679327884
F1,0.23406251782738252,0.5024708427924498,21,1.5384003060596272,0.007320464743274319,0.04052244491208775
F2,0.30465239833745344,0.4593535756386427,21,1.2340577776440906,0.005332349322935232,0.02746629890783318
FIN,0.22881581100567555,0.5012227930711941,14,1.4039889442333335,0.019376566178224773,0.0978712729290451
G1,0.182491938983735,0.5447704123921426,17,1.7080871889929679,0.015172967497854864,0.0643787005234472
I1,0.18096984633015156,0.5286429278056974,21,1.7946429140426456,0.01071396490836338,0.06109723005422759
I2,0.3032958184158112,0.4646042693042957,20,1.3162676663773714,0.005235889091814197,0.028363300457031827
IRL,0.14811255097095322,0.5446741495814893,14,1.7253615323871225,0.026342483602194464,0.12415295025021933
JAP,0.26525144657671296,0.474003960749702,14,1.4066165541231148,0.012053264053211705,0.09520004469186584
MEX,0.2606802635969845,0.4774410726719191,13,1.2551553235630506,0.008683406860844381,0.050430485022459955
N1,0.10063274889173841,0.5637252898496593,21,1.8439848072841423,0.011674342037000272,0.06411098812006731
NOR,0.16736553032359283,0.5180119822218189,14,1.3830355233053455,0.015344294966636066,0.10188947075076546
P1,0.2172971145052108,0.5349514123697344,20,1.8478934423075735,0.015127024599212868,0.06576259012303096
POL,0.2672483132485394,0.47552380237859454,13,1.1894422290625153,0.008086127836394372,0.037834174496051434
ROM,0.2494889923515139,0.501958902722623,13,1.4231623332170846,0.009330605474698208,0.04713668721060874
RUS,0.2269201830059287,0.5161552264713584,13,1.520773905389792,0.013166302345921182,0.06416816637627432
SC0,0.2162315505001126,0.5346462983463758,20,1.8595273767695122,0.01784537807355942,0.05542872674052133
SC1,0.21777187066573214,0.49592809261717824,21,1.4785161724655158,0.01455465958884035,0.043769784839314804
SC2,0.19687672517632232,0.4991465102310449,21,1.5984892811843088,0.01482675705566109,0.04678219947834653
SC3,0.20887195413809265,0.49806184827106803,21,1.5175107153397753,0.014026934105256276,0.043080689268478335
SP1,0.19607664195017324,0.5319088929623405,20,1.7272124616696842,0.009707235603720858,0.05113038107086898
SP2,0.2953402312298991,0.4622116932627242,20,1.1967944636160994,0.003958139412688083,0.02346271331416346
SUI,0.1930796007592061,0.5025241920747887,13,1.4992020373622172,0.01748725846866865,0.05033482728237597
SWE,0.17326797973560518,0.5213332750315701,14,1.4977163424468671,0.01626203455519411,0.11781884490051443
T1,0.1978882646427065,0.5105924430102081,20,1.5864622599334193,0.009062033018899018,0.04769611237154566
USA,0.16233550684056564,0.5030997289258212,14,1.1283029762551675,0.005279518510341085,0.04113339465478313
