Division,n,p_fav_mean,skew_fav,skew_draw,skew_dog
E3,11090,0.45873702237570063,0.2942142497438685,1.0578278322769694,1.394985751995099
F2,7582,0.4593535756386427,0.30465239833745344,0.9439548131916605,1.567792512221382
SP2,8997,0.4622116932627242,0.2953402312298991,0.9750306046637324,1.5962826723816246
ARG,5330,0.4644123392357087,0.3134405699021942,1.0017945917047493,1.7249763699341865
I2,8636,0.4646042693042957,0.3032958184158112,0.9740161510066002,1.743075273433163
E1,11181,0.4697629442813914,0.2759582803460483,1.0795137426158006,1.5841978866515625
E2,11019,0.47120234959874535,0.26907666720715334,1.0936162746421167,1.5521339817307256
JAP,4089,0.474003960749702,0.26525144657671296,1.140164982938513,1.5703816788415212
POL,3567,0.47552380237859454,0.2672483132485394,1.0997239971314021,1.6813735078259058
MEX,4080,0.4774410726719191,0.2606802635969845,1.109780364337295,1.5822522872179254
D2,6238,0.4778814182943533,0.24495154040633485,1.1231586899842092,1.570083066124847
EC,7096,0.48627674284696554,0.22583090084913496,1.1854108541706316,1.7227738111826072
DEN,2634,0.49401749212986407,0.22333150994287856,1.207826138290299,1.8030567656292271
SC1,3549,0.49592809261717824,0.21777187066573214,1.2609112374406606,1.9861778099687657
SC3,3566,0.49806184827106803,0.20887195413809265,1.303745555266292,1.8908917790419246
SC2,3565,0.4991465102310449,0.19687672517632232,1.3265490583339512,1.9851678758364015
FIN,2354,0.5012227930711941,0.22881581100567555,1.240653850002257,2.188482303572924
BRA,4849,0.501314579322712,0.2286178433224453,1.1403562306615367,2.0327619219865856
ROM,3639,0.501958902722623,0.2494889923515139,1.2269888223745442,2.4828716143445946
F1,7539,0.5024708427924498,0.23406251782738252,1.308980291751276,2.4862808603538604
SUI,2272,0.5025241920747887,0.1930796007592061,1.2764366879308768,1.7878035541171715
USA,5233,0.5030997289258212,0.16233550684056564,1.2249183162439243,1.6339982957970038
T1,6210,0.5105924430102081,0.1978882646427065,1.292396195736646,2.1751023787542016
RUS,3004,0.5161552264713584,0.2269201830059287,1.3748505942402915,2.7350023942515183
NOR,3092,0.5180119822218189,0.16736553032359283,1.3504650702146936,2.039622109207555
SWE,3110,0.5213332750315701,0.17326797973560518,1.3248058260272064,2.2175496833931683
B1,5420,0.5247842954141143,0.15532473367761768,1.3221930244761393,2.208376728025618
D1,6273,0.5279339920711643,0.1802095414344453,1.5552758196960346,2.8900367582745456
I1,7726,0.5286429278056974,0.18096984633015156,1.3574106108462074,2.6940655733058394
SP1,7351,0.5319088929623405,0.19607664195017324,1.6649252125024818,3.4018192900751814
SC0,4539,0.5346462983463758,0.2162315505001126,1.549413883162276,3.185622249973554
P1,5491,0.5349514123697344,0.2172971145052108,1.533052503465382,3.2874890744325316
AUT,2306,0.5382996157661302,0.14650581884001274,1.5564974887109506,2.708949346816012
E0,7735,0.5428351674461053,0.16695804663737238,1.5459715428345475,3.2042166961829204
IRL,2367,0.5446741495814893,0.14811255097095322,1.4631948727941455,2.972323028059181
G1,4039,0.5447704123921426,0.182491938983735,1.50176533815762,3.2517633636022407
CHN,2532,0.5501287727603912,0.14797028244368451,1.7562091476905564,3.5715325872283454
N1,6135,0.5637252898496593,0.10063274889173841,1.7099756891475162,3.262595206638965
