Division,n,gamma,p_fav_dv
G1,4039,0.8477843020893197,0.5447704123921426
P1,5491,0.8611101715212729,0.5349514123697344
I1,7726,0.8997523785453222,0.5286429278056974
T1,6210,0.9046261442219041,0.5105924430102081
BRA,4849,0.911757810031903,0.501314579322712
F2,7582,0.9229836341107541,0.4593535756386427
SP1,7351,0.9270469106686384,0.5319088929623405
USA,5233,0.9411843498597704,0.5030997289258212
B1,5420,0.9419009114201213,0.5247842954141143
SC0,4539,0.9428675662629362,0.5346462983463758
SP2,8997,0.9461185739331808,0.4622116932627242
MEX,4080,0.9474337082225116,0.4774410726719191
E0,7735,0.9506661612504829,0.5428351674461053
ARG,5330,0.954225792308858,0.4644123392357087
JAP,4089,0.9546969844670646,0.474003960749702
N1,6135,0.9614470883208162,0.5637252898496593
E2,11019,0.9629157036966797,0.47120234959874535
F1,7539,0.9634207261253388,0.5024708427924498
EC,7096,0.9703189985494116,0.48627674284696554
I2,8636,0.972002371125908,0.4646042693042957
E1,11181,0.9871174572859058,0.4697629442813914
E3,11090,1.0017334741518453,0.45873702237570063
D1,6273,1.0018203718895857,0.5279339920711643
D2,6238,1.0038230491542304,0.4778814182943533
