Division,n,entropy,skew,p_fav,skew_ou
B1,5420,0.9886194650136176,0.15532473367761768,0.5247842954141143,-0.18573353991859692
D1,6273,0.9792966577881919,0.1802095414344453,0.5279339920711643,-0.25227595154504606
D2,6238,1.0350419906623285,0.24495154040633485,0.4778814182943533,-0.17407041053718905
E0,7735,0.9613122029300378,0.16695804663737238,0.5428351674461053,-0.21293778856771514
E1,11181,1.0407226243133672,0.2759582803460483,0.4697629442813914,-0.16167369411365745
E2,11019,1.0402306992083543,0.26907666720715334,0.47120234959874535,-0.12351271879773756
E3,11090,1.0504922796099199,0.2942142497438685,0.45873702237570063,-0.13698174831380194
EC,7096,1.0271677558341945,0.22583090084913496,0.48627674284696554,-0.14477182920579437
F1,7539,1.0041585734616414,0.23406251782738252,0.5024708427924498,-0.27498536596106166
F2,7582,1.0458969478265332,0.30465239833745344,0.4593535756386427,-0.3234826926701573
G1,4039,0.9525886728388188,0.182491938983735,0.5447704123921426,-0.3460333686670098
I1,7726,0.9779321428101725,0.18096984633015156,0.5286429278056974,-0.2016623619613202
I2,8636,1.0388261934423308,0.3032958184158112,0.4646042693042957,-0.25272582476629885
N1,6135,0.9391362815482178,0.10063274889173841,0.5637252898496593,-0.3249334044747597
P1,5491,0.962235289340288,0.2172971145052108,0.5349514123697344,-0.2661294465779953
SC0,4539,0.9631931269216036,0.2162315505001126,0.5346462983463758,-0.20191162201003737
SC1,3549,1.0160365170987244,0.21777187066573214,0.49592809261717824,-0.14874620307916997
SC2,3565,1.0139786413765857,0.19687672517632232,0.4991465102310449,-0.21275196290102166
SC3,3566,1.0141578483288398,0.20887195413809265,0.49806184827106803,-0.19037333113433472
SP1,7351,0.9696848216608928,0.19607664195017324,0.5319088929623405,-0.24573154255465046
SP2,8997,1.0443130320376937,0.2953402312298991,0.4622116932627242,-0.31326468823664416
T1,6210,1.0005506018965507,0.1978882646427065,0.5105924430102081,-0.1752631720922624
