Division,n,skew_exante,within_frac,between_frac,p_fav_dv_mean,overround_mean,skew_expost
N1,6135,0.10063274889173841,1.1148945802864731,-6.19846767471282e-05,0.5637252898496593,1.0719126145262299,0.10139729411071646
AUT,2306,0.14650581884001274,1.0692649748813703,-3.2817082095906e-07,0.5382996157661302,1.0675277596277455,0.20450473716453277
CHN,2532,0.14797028244368451,1.0989924546692738,-2.2002232712696385e-06,0.5501287727603912,1.0792349614889343,0.14735192830518035
IRL,2367,0.14811255097095322,1.0857374016955779,-1.1426823424671418e-06,0.5446741495814893,1.0750972820198696,0.15432293842063063
B1,5420,0.15532473367761768,1.0484000196901195,-3.1933150039134485e-05,0.5247842954141143,1.0747696869404948,0.1452794459405304
USA,5233,0.16233550684056564,1.0359680322897118,-7.25759439887942e-06,0.5030997289258212,1.0650691210949264,0.1436017783894549
E0,7735,0.16695804663737238,1.0401722087398007,-1.3015665856945729e-05,0.5428351674461053,1.0455593813750488,0.14460486506786638
NOR,3092,0.16736553032359283,1.0456607954806145,-5.488009291896175e-07,0.5180119822218189,1.0644618115481055,0.16001123009527116
SWE,3110,0.17326797973560518,1.047912218637541,-6.893561041763094e-07,0.5213332750315701,1.0631946354363875,0.1832906594929946
D1,6273,0.1802095414344453,1.0431213717017493,-1.7779218648105332e-05,0.5279339920711643,1.0592947148625482,0.22440129441224801
I1,7726,0.18096984633015156,1.0449970067164212,-1.8532534543702838e-05,0.5286429278056974,1.0596919366611155,0.12709418123348423
G1,4039,0.182491938983735,1.062693012233107,-2.408524670194219e-05,0.5447704123921426,1.0799356443435109,0.15898267756836731
SUI,2272,0.1930796007592061,1.0362762117138031,-2.0240205652844594e-07,0.5025241920747887,1.0694390202738022,0.18684207651053125
SP1,7351,0.19607664195017324,1.0411677064245244,-1.532789194474747e-05,0.5319088929623405,1.0577303311008703,0.1584089407815618
SC2,3565,0.19687672517632232,1.029099350291486,-1.9952657613902147e-05,0.4991465102310449,1.0829297276230598,0.17111892889970376
T1,6210,0.1978882646427065,1.0290936958593584,-2.2709382208531177e-05,0.5105924430102081,1.0743203207861232,0.14390469966234906
SC3,3566,0.20887195413809265,1.0263074903640317,-1.476976771418182e-05,0.49806184827106803,1.0839161844300742,0.21024958550204456
SC0,4539,0.2162315505001126,1.0480491676190644,-1.6569553242273953e-05,0.5346462983463758,1.0702868218034711,0.22342938224254852
P1,5491,0.2172971145052108,1.0494363129471052,-2.4866844651335923e-05,0.5349514123697344,1.072963955179611,0.17411763787156287
SC1,3549,0.21777187066573214,1.0286057860737456,-1.944577130248416e-05,0.49592809261717824,1.0802201666922253,0.2788829704365914
DEN,2634,0.22333150994287856,1.029208132771978,-1.3398114688589706e-07,0.49401749212986407,1.0632705650823224,0.19485985294867528
EC,7096,0.22583090084913496,1.0241358916805392,-5.065236847519696e-06,0.48627674284696554,1.0728785503885983,0.2438915480801523
RUS,3004,0.2269201830059287,1.039511564184838,-8.719497175906547e-07,0.5161552264713584,1.0649954687420615,0.17627722738753904
BRA,4849,0.2286178433224453,1.0337306265727804,-7.888044735629984e-07,0.501314579322712,1.0678811888527102,0.18266656972752165
FIN,2354,0.22881581100567555,1.03638097718551,2.870265084777378e-05,0.5012227930711941,1.070337184220373,0.18567956609395472
F1,7539,0.23406251782738252,1.0311785913363347,-2.7811319346381484e-05,0.5024708427924498,1.0635508070990336,0.2130308652769164
D2,6238,0.24495154040633485,1.0147345077424477,-1.6410163888350882e-05,0.4778814182943533,1.0716756563126657,0.27210201092590625
ROM,3639,0.2494889923515139,1.0408456104776906,-8.322135819978131e-08,0.501958902722623,1.0830785981398066,0.25289821756682823
MEX,4080,0.2606802635969845,1.0244390294286791,6.152903729405658e-08,0.4774410726719191,1.0743183300921126,0.24164219081842697
JAP,4089,0.26525144657671296,1.0202742832261138,-4.7647984154091275e-07,0.474003960749702,1.0703873048366033,0.24516079138315885
POL,3567,0.2672483132485394,1.022037241528358,1.5474111459407843e-07,0.47552380237859454,1.07096677531855,0.29444560189929864
E2,11019,0.26907666720715334,1.0042171553639108,-7.761879656329981e-06,0.47120234959874535,1.0596229980871141,0.25583204032514917
E1,11181,0.2759582803460483,1.0064551606547367,-1.2257160365693384e-05,0.4697629442813914,1.054720217024261,0.2987170410841858
E3,11090,0.2942142497438685,1.001301217418704,-4.476981549088212e-06,0.45873702237570063,1.060213987607883,0.3254961476231662
SP2,8997,0.2953402312298991,1.0147650607567231,-1.7367265852016076e-05,0.4622116932627242,1.0753510395942798,0.2852632955673194
I2,8636,0.3032958184158112,1.0114258911549965,-1.2622021021174319e-05,0.4646042693042957,1.0767412162282892,0.33493083053531414
F2,7582,0.30465239833745344,1.0108762746228073,-2.6722596678639697e-05,0.4593535756386427,1.0769910778974063,0.2784800563175029
ARG,5330,0.3134405699021942,1.0182783190474298,7.030450140746088e-05,0.4644123392357087,1.070934362246104,0.30823528603951306
