Division,season,n,skew_exante,p_fav_dv
ARG,2012,188,0.34512021387634007,0.44100916306564797
ARG,2013,383,0.3222428070487092,0.44995599606556225
ARG,2014,382,0.3002638334316574,0.4584132468171869
ARG,2015,469,0.2970134436566275,0.47137250391447943
ARG,2016,452,0.28766337451429225,0.4670780916613457
ARG,2017,406,0.2586509916324139,0.4843957059376323
ARG,2018,399,0.30482257541977,0.47771136451964585
ARG,2019,328,0.30785999830910593,0.4682818548217937
ARG,2020,193,0.31872787635754984,0.4748742786479195
ARG,2021,527,0.31045176885504694,0.4655015410030293
ARG,2022,581,0.3274162158984217,0.462560773961913
ARG,2023,582,0.34759914009744924,0.4520888311892942
ARG,2024,440,0.33319188277023004,0.46151486404236186
AUT,2013,185,0.13715925392195916,0.5382158834851423
AUT,2014,171,0.1548829296611185,0.5446605539182221
AUT,2015,185,0.1403541628434216,0.5411804766633063
AUT,2016,180,0.1575273416484378,0.5282559163578553
AUT,2017,180,0.1782809060905468,0.5208759008228894
AUT,2018,190,0.14151054222286794,0.5419160729264043
AUT,2019,195,0.09674514006984361,0.5639265743381753
AUT,2020,158,0.10549480651071469,0.5593966105307155
AUT,2021,234,0.1545532079538393,0.5453121472559121
AUT,2022,183,0.14743866655323504,0.5345827160014265
AUT,2023,201,0.1510076787617997,0.530486905133346
B1,2005,219,0.1688440983191336,0.5252692445708741
B1,2006,294,0.16579224901316938,0.517952831891506
B1,2007,302,0.14083989315667086,0.5279519426255407
B1,2008,308,0.1846214684660017,0.5166096438978276
B1,2009,297,0.15419999750496352,0.5309113426314722
B1,2010,228,0.17182381779126135,0.5173619152372853
B1,2011,230,0.12698063245894814,0.5264923365147065
B1,2012,264,0.13938688274045033,0.5308860294754805
B1,2013,232,0.13382844711737354,0.5346969782317367
B1,2014,239,0.19619831892123815,0.5151626717375393
B1,2015,241,0.1422916029610862,0.5293522585346678
B1,2016,239,0.1913631266940434,0.5210097071721639
B1,2017,240,0.154524564518111,0.5250341977574178
B1,2018,241,0.12513233781275288,0.5353814193148478
B1,2019,239,0.09403245708519495,0.5491462998908972
B1,2020,233,0.13477684254896025,0.5264332400405483
B1,2021,325,0.1737202743901191,0.5100110992481797
B1,2022,281,0.13325873638709945,0.5293624897290018
B1,2023,304,0.13347416307664256,0.5287028214454021
B1,2024,312,0.17047212860617866,0.515704202843761
B1,2025,152,0.19234651037156947,0.5081350301719868
BRA,2012,380,0.21947025977561307,0.498256273034783
BRA,2013,380,0.21852494559574184,0.4972645636274906
BRA,2014,380,0.22013773821758803,0.4965086095725453
BRA,2015,380,0.2206377308670262,0.498741886284843
BRA,2016,379,0.2140576845057157,0.5047323890836659
BRA,2017,380,0.19599700916101626,0.5065418780258357
BRA,2018,380,0.2367693218563114,0.5070152476031052
BRA,2019,380,0.23103911843644775,0.5231098029254171
BRA,2020,268,0.25887923671760865,0.491329346607164
BRA,2021,492,0.25451299941840483,0.4965805441552306
BRA,2022,380,0.22879173634709885,0.5075558332927638
BRA,2023,380,0.23513941971529748,0.4965589058798017
BRA,2024,290,0.23281565004140428,0.4882647826356037
CHN,2014,240,0.17175436003334113,0.5343000626589318
CHN,2015,240,0.19399955434741958,0.532356411019408
CHN,2016,240,0.18147703516180133,0.5295029264156625
CHN,2017,240,0.14191443817016264,0.5380528933470619
CHN,2018,240,0.11260110756576966,0.5516874531481498
CHN,2019,240,0.10481926407050311,0.552047256270886
