Division,n,home,draw,p_fav,h,c,sigma_L,skew_model,skew_exante,p_fav_dv_mean
USA,5233,0.5010510223581119,0.25186317599847124,0.5030997289258212,0.3495906414068823,0.34679889007411957,0.13656770714977484,0.11101951954847,0.16233550684056564,0.5030997289258212
SP2,8997,0.4520395687451373,0.29798821829498723,0.4622116932627242,0.28506312371020764,0.40887675033462223,0.1703373622012083,0.30244510093415516,0.2953402312298991,0.4622116932627242
F2,7582,0.4415721445528884,0.30084410445792664,0.4593535756386427,0.26123283151809196,0.41342362944375366,0.19288964026113273,0.3259115599879098,0.30465239833745344,0.4593535756386427
E3,11090,0.41992786293958523,0.27294860234445445,0.45873702237570063,0.15725651912123315,0.36739166563682046,0.2039638119607748,0.2957753502414089,0.2942142497438685,0.45873702237570063
E2,11019,0.43352391324076595,0.26399854796261,0.47120234959874535,0.18303285138841285,0.35787795001969247,0.21577369155368145,0.2619293519458717,0.26907666720715334,0.47120234959874535
BRA,4849,0.4854609197772737,0.26850897092183956,0.501314579322712,0.3408551851120316,0.37887464166457147,0.220553568456133,0.20703307561283465,0.2286178433224453,0.501314579322712
E1,11181,0.4339504516590645,0.2744834987925946,0.4697629442813914,0.20049453813601728,0.3745629910557459,0.22097030408045312,0.28001079348825475,0.2759582803460483,0.4697629442813914
ARG,5330,0.4337711069418386,0.29962476547842404,0.4644123392357087,0.23986274812870925,0.41490693718604515,0.22802691137128747,0.3278396847019695,0.3134405699021942,0.4644123392357087
POL,3567,0.4384636949817774,0.27137650686851694,0.47552380237859454,0.20940354958499413,0.3720497005837643,0.22981881191200312,0.26701547828727457,0.2672483132485394,0.47552380237859454
JAP,4089,0.40670090486671556,0.24749327463927612,0.474003960749702,0.0846028958613588,0.33259372355355904,0.2298913584674885,0.23597888599892794,0.26525144657671296,0.474003960749702
MEX,4080,0.4428921568627451,0.2754901960784314,0.4774410726719191,0.22884321493300794,0.3799055928125814,0.23328755804756704,0.27034984832876047,0.2606802635969845,0.4774410726719191
D2,6238,0.4418082718820135,0.27348509137544086,0.4778814182943533,0.22271011681198408,0.376743058865262,0.23453109588805282,0.266951624072129,0.24495154040633485,0.4778814182943533
SC3,3566,0.43858665171060013,0.21929332585530006,0.49806184827106803,0.13341603855859852,0.2966020039745238,0.24248515960000114,0.1553540199598297,0.20887195413809265,0.49806184827106803
SC2,3565,0.43309957924263676,0.22328190743338008,0.4991465102310449,0.12454177844266985,0.30337061459224907,0.2541808501423529,0.1600154243223248,0.19687672517632232,0.4991465102310449
I2,8636,0.42843909217230197,0.3185502547475683,0.4646042693042957,0.2577093972066063,0.44917914987295116,0.254643985588401,0.35473360387361363,0.3032958184158112,0.4646042693042957
