Division,pre2005,modern,delta,n_pre
B1,0.1426646790915661,0.16158457842362794,0.01891989933206184,4
D1,0.19098891498176007,0.19769130446122202,0.006702389479461945,5
D2,0.21391362021801547,0.2598572600214755,0.04594363980346006,4
E0,0.1907713093490046,0.18102605854090745,-0.009745250808097156,5
E1,0.23574236070753313,0.2928197627176283,0.057077402010095146,5
E2,0.2510017043878911,0.28690777181192767,0.03590606742403657,5
E3,0.24177633684657174,0.3108943170245817,0.06911798017800996,5
F1,0.22630795428539216,0.2524440564908432,0.026136102205451067,5
I1,0.20557559054445199,0.19616711066997694,-0.009408479874475045,4
I2,0.29234784139039677,0.31233920280823035,0.019991361417833586,5
N1,0.12791280024516483,0.09989798365178325,-0.028014816593381578,5
P1,0.1403783522948415,0.2254913994141982,0.08511304711935672,3
SC1,0.230485942717821,0.22984125490708351,-0.000644687810737482,3
SC2,0.2665862434271237,0.21118017157924468,-0.055406071847879046,3
SP1,0.19920626746070255,0.2088820453527738,0.009675777892071247,4
SP2,0.3551807891157029,0.3050677881865978,-0.05011300092910509,3
T1,0.12763924702494212,0.20375498588578123,0.07611573886083911,5
