Division,n,rel,res,brier
ARG,5330,0.000543763656515682,0.010075135379543496,0.23908199047414422
B1,5420,0.0002448872981699695,0.015263927169863726,0.2339335902467101
BRA,4849,0.00035098908684326523,0.012523961643943777,0.237384193438958
D1,6273,0.0005340095732441961,0.01600777698041956,0.23380365680716247
D2,6238,0.00042735783622226044,0.006509694288184673,0.24293460218705445
E0,7735,0.00025800009924066184,0.019048853312973995,0.22846471794861212
E1,11181,0.0003559409571994261,0.008534264710426757,0.24034237909325912
E2,11019,0.00012652705004194753,0.008008181131738934,0.24129848125156422
E3,11090,0.000117933025043816,0.005491677720382761,0.24196788660310767
EC,7096,0.00033597011592269256,0.010931553999328958,0.23886634170910126
F1,7539,0.0003219137196294582,0.012575812125862298,0.23722780296043855
F2,7582,0.00024693693272289036,0.007911532736655454,0.24066700566770471
G1,4039,0.0014173820280401308,0.03055604377226711,0.21813436446642812
I1,7726,0.0003694217999855076,0.01754380077528914,0.23032559509206812
I2,8636,0.0003459372972963997,0.009657480709550088,0.23858132444018923
JAP,4089,0.000585833072599878,0.00918443368078246,0.24101136303132611
MEX,4080,0.0004971591932650989,0.009649327256194423,0.24036152941247618
N1,6135,0.00048566028674410346,0.019769800264560416,0.22638040964630773
NOR,3092,0.00044438973659277316,0.015296997659762907,0.23489799125748642
P1,5491,0.0007511803355750957,0.026110178773531632,0.22198359705976936
POL,3567,0.00037300805469342517,0.009304938231774593,0.23985097830312044
ROM,3639,0.0005441899963240038,0.01784081908645798,0.23210236056986938
RUS,3004,0.0005038319429472073,0.01421534718387759,0.23471398060271376
SC0,4539,0.0004860610989280541,0.02397050064283624,0.22517143825568972
SC1,3549,0.0008831633960070377,0.010495966185332165,0.23993482945215255
SC2,3565,0.0008529854427308591,0.01242714302446543,0.2376965969452265
SC3,3566,0.0006174256329827201,0.00984806642130666,0.2407243122140997
SP1,7351,0.00017494142086745587,0.019530075662131406,0.2282191650717148
SP2,8997,0.0001932619394436088,0.008669768141728235,0.24006218213488856
SWE,3110,0.0008843735830761809,0.01895000585019926,0.23144920737545202
T1,6210,0.0004008524415498005,0.013862637957680808,0.23556031653298834
USA,5233,0.00027838345691316073,0.01026502560816243,0.2398669712850956
