Division,n,z,overround,p_fav
E0,7735,0.023033707193652258,1.0455593813750488,0.5428351674461053
E1,11181,0.027478410652301825,1.054720217024261,0.4697629442813914
SP1,7351,0.02924871465391723,1.0577303311008703,0.5319088929623405
E2,11019,0.029954703840747252,1.0596229980871141,0.47120234959874535
D1,6273,0.029964199321411585,1.0592947148625482,0.5279339920711643
I1,7726,0.030189316873955877,1.0596919366611155,0.5286429278056974
E3,11090,0.030227118597172024,1.060213987607883,0.45873702237570063
DEN,2634,0.03182507476170795,1.0632705650823224,0.49401749212986407
SWE,3110,0.03187593328916973,1.0631946354363875,0.5213332750315701
F1,7539,0.032041819122472344,1.0635508070990336,0.5024708427924498
NOR,3092,0.032499333613997775,1.0644618115481055,0.5180119822218189
USA,5233,0.03274145033060049,1.0650691210949264,0.5030997289258212
RUS,3004,0.03285137445940689,1.0649954687420615,0.5161552264713584
AUT,2306,0.03419389097968452,1.0675277596277455,0.5382996157661302
BRA,4849,0.034204234955527574,1.0678811888527102,0.501314579322712
SUI,2272,0.03496795921274708,1.0694390202738022,0.5025241920747887
JAP,4089,0.03537364424780557,1.0703873048366033,0.474003960749702
FIN,2354,0.03549731893174539,1.070337184220373,0.5012227930711941
POL,3567,0.03567559163725204,1.07096677531855,0.47552380237859454
ARG,5330,0.035677715666374,1.070934362246104,0.4644123392357087
SC0,4539,0.03571650924232683,1.0702868218034711,0.5346462983463758
D2,6238,0.03604987211245701,1.0716756563126657,0.4778814182943533
N1,6135,0.03664657151186516,1.0719126145262299,0.5637252898496593
EC,7096,0.036677925843082375,1.0728785503885983,0.48627674284696554
P1,5491,0.03707181150554212,1.072963955179611,0.5349514123697344
MEX,4080,0.03736261539954511,1.0743183300921126,0.4774410726719191
T1,6210,0.037587008096995174,1.0743203207861232,0.5105924430102081
B1,5420,0.03783861391866193,1.0747696869404948,0.5247842954141143
SP2,8997,0.03787384736800313,1.0753510395942798,0.4622116932627242
IRL,2367,0.03813658077828991,1.0750972820198696,0.5446741495814893
I2,8636,0.038664472547922976,1.0767412162282892,0.4646042693042957
F2,7582,0.038704852507680736,1.0769910778974063,0.4593535756386427
CHN,2532,0.04036779113082056,1.0792349614889343,0.5501287727603912
SC1,3549,0.0404484704213739,1.0802201666922253,0.49592809261717824
G1,4039,0.040816501462325766,1.0799356443435109,0.5447704123921426
SC2,3565,0.04186253598586567,1.0829297276230598,0.4991465102310449
ROM,3639,0.04201009670963861,1.0830785981398066,0.501958902722623
SC3,3566,0.042393400766874714,1.0839161844300742,0.49806184827106803
