team,Division,n,elo,fav_rate,skew_games
Lahti,FIN,390,1181.8232283464565,0.4282051282051282,0.05616501966550765
Rovaniemi,FIN,249,1182.5694475138123,0.39357429718875503,0.027055608120571933
Mariehamn,FIN,391,1186.2498787878787,0.41687979539641945,0.030613423163583592
Inter Turku,FIN,391,1188.34658008658,0.6086956521739131,0.046624474814014466
Dundee,SC1,723,1216.2386099585062,0.5186721991701245,-0.009184911308570342
Hamilton,SC0,740,1224.2757432432431,0.3864864864864865,-0.07237568602714706
Partick,SC1,715,1227.8432489451475,0.5496503496503496,0.0975108066362737
Ross County,SC0,743,1230.0496450939459,0.41184387617765816,-0.02364164561422339
Dunfermline,SC1,713,1239.2229004329001,0.5834502103786816,-0.0293572249271947
Sandefjord,NOR,236,1244.52843220339,0.19915254237288135,-0.17817986185641677
Halmstad,SWE,214,1250.0959813084114,0.2523364485981308,-0.09965724837980768
Queen of Sth,SC1,714,1252.7933333333333,0.4635854341736695,0.026240126817420314
Livingston,SC1,730,1254.1422686567164,0.48904109589041095,-0.056891111164665574
St Mirren,SC0,753,1256.9900475435816,0.3559096945551129,-0.04241674713063188
Sundsvall,SWE,214,1264.3756542056076,0.2523364485981308,-0.18051027737848133
Stabaek,NOR,303,1284.0938613861388,0.29372937293729373,-0.042496159220745414
St Johnstone,SC0,749,1284.2878282828283,0.48064085447263016,0.009081700234098553
Kilmarnock,SC0,753,1294.7858831341302,0.398406374501992,-0.03352912576528324
Falkirk,SC1,716,1298.3248230088498,0.6187150837988827,-0.11465340398980906
Aalesund,NOR,271,1301.8478228782287,0.3505535055350554,-0.09280349512970062
Dundee United,SC0,747,1311.3272179289027,0.5622489959839357,-0.06136113024788729
Motherwell,SC0,757,1313.254966974901,0.4240422721268164,-0.008409160346407577
Kristiansund,NOR,206,1315.4224271844662,0.33495145631067963,-0.06810841567437596
Levadeiakos,G1,348,1319.6608620689656,0.3390804597701149,-0.20938340414482753
Panetolikos,G1,306,1321.0065359477123,0.369281045751634,-0.11784362333360929
Lyngby,DEN,217,1323.2036150234742,0.23963133640552994,-0.007136341625276691
Bradford,E3,922,1323.78,0.5585683297180043,0.18261269168105487
Tromso,NOR,324,1324.6918209876544,0.45987654320987653,-0.034283417203214955
Kalmar,SWE,390,1327.0077692307693,0.4,0.039715797716995425
Graafschap,N1,213,1327.1454716981134,0.16901408450704225,-0.39013033741895276
Hibernian,SC0,750,1327.6744957983192,0.6013333333333334,-0.10423412811980916
Horsens,DEN,239,1328.2607234042555,0.19246861924686193,0.0226503372181234
Cracovia,POL,402,1328.3766915422887,0.5174129353233831,0.18329743436544124
Lillestrom,NOR,356,1331.7405056179775,0.48314606741573035,0.0028679938561159807
VVV Venlo,N1,295,1333.5763389830508,0.20677966101694914,-0.3448744733079663
Excelsior,N1,370,1341.405216216216,0.1810810810810811,-0.38575564181494426
Larisa,G1,328,1342.4125609756097,0.38414634146341464,-0.0754687886046739
Haugesund,NOR,384,1342.6510416666667,0.4088541666666667,0.01881657609270752
Helsingborg,SWE,244,1344.402581967213,0.4426229508196721,-0.08760819297808092
Ergotelis,G1,215,1344.584186046512,0.34418604651162793,-0.12643405862114007
Silkeborg,DEN,277,1345.3506137184115,0.3212996389891697,-0.012413844977889011
Wisla,POL,353,1346.5023229461756,0.4985835694050991,0.1514087586750909
Lierse,B1,223,1346.9456950672645,0.2556053811659193,-0.15334514006049038
Pro Vercelli,I2,210,1348.999380952381,0.32857142857142857,0.14990006080785462
Brann,NOR,327,1349.0262996941897,0.6299694189602446,-0.06538831200806025
Hearts,SC0,745,1350.6078657718122,0.6563758389261745,-0.13046779038322448
Milton Keynes Dons,E2,922,1352.369782608696,0.6225596529284165,0.10969072344642396
OFI,G1,206,1352.8473300970873,0.3640776699029126,-0.181244000503922
Giannina,G1,311,1353.0919354838709,0.38263665594855306,-0.06429073161836234
Eupen,B1,287,1353.9251567944252,0.21254355400696864,-0.13197721658054515
Valerenga,NOR,362,1355.8962430939227,0.5524861878453039,-0.009555072531017212
Piast Gliwice,POL,432,1356.3520093457944,0.5347222222222222,0.1765456453465731
Jagiellonia,POL,432,1357.4722453703705,0.5162037037037037,0.129967834017477
Stromsgodset,NOR,384,1365.2659635416667,0.5729166666666666,-0.08661397894504437
Esbjerg,DEN,238,1365.7597058823533,0.3907563025210084,0.11560722825199969
Viking,NOR,354,1369.0884745762712,0.5508474576271186,-0.04051889966150113
Viborg,DEN,215,1370.4302427184468,0.4511627906976744,0.09219816935521812
Aberdeen,SC0,757,1370.4843989431968,0.6446499339498019,-0.07480836289430275
Rodez,F2,213,1371.373943661972,0.40375586854460094,0.27064879709902645
Burton,E2,725,1372.7690579710147,0.4013793103448276,0.13223231904206761
Rotherham,E1,920,1373.8089292196007,0.4597826086956522,0.0648604895692475
Walsall,E2,922,1375.28,0.4772234273318872,0.17285869520956507
For Sittard,N1,230,1375.5423043478265,0.26956521739130435,-0.2764220948570941
Willem II,N1,545,1376.0480183486238,0.29724770642201837,-0.2369350518315286
Cosenza,I2,264,1379.2061742424241,0.26515151515151514,0.14840673788696546
Juve Stabia,I2,202,1380.5016336633664,0.36633663366336633,0.1448756437388369
Go Ahead Eagles,N1,238,1380.5448739495796,0.31092436974789917,-0.22640737290082952
Iraklis,G1,237,1380.8911392405066,0.37130801687763715,-0.10755709749625317
Yeovil,E2,843,1381.559891304348,0.36180308422301305,0.12782162274631576
