tour,competition,n,p_fav_mean,skew_fav,skew_dog
ATP,ATP250,13469,0.6662558455910059,-0.5174308029264209,1.684490393865563
ATP,ATP500,5198,0.6962972777695308,-0.6051840586501614,2.4007143229314614
ATP,Grand Slam,6217,0.744465756269039,-0.7494086907733004,3.3439503624987568
ATP,Masters 1000,7265,0.6935660007363933,-0.5894114624652036,2.315531503269567
WTA,Grand Slam,6413,0.7180369062437427,-0.669910631232631,2.6088067657640863
WTA,International,7503,0.6733850481352185,-0.5373881203677204,1.8053286413869114
WTA,Premier,6798,0.675653528242498,-0.5513532577969527,1.8517888175062986
WTA,WTA1000,3105,0.6802235551477719,-0.5373572003253899,2.00569338396716
WTA,WTA250,4139,0.6704704130110597,-0.5057402878776375,1.9614652504516417
WTA,WTA500,2267,0.6721189292960866,-0.5107963500025872,1.8418602894283411
